gene_id,AKP_REP1,AKP_REP2,AKP_REP3,AKPE_REP1,AKPE_REP2,AKPE_REP3,AP_REP1,AP_REP2,AP_REP3
Cops7b,662,724,928,807,827,801,641,675,696
Cops8,2518,2804,2849,2627,2931,2331,1465,2148,2303
Copz1,3785,3970,3884,3854,4671,3897,3726,4252,3618
Copz2,0,3,4,4,5,5,2,11,3
Coq10a,148,141,158,170,172,205,289,217,126
Coq10b,825,933,1015,996,755,719,571,833,1030
Coq2,1387,1864,2217,1780,1911,2131,1902,1835,1975
Coq3,525,567,468,548,628,474,823,642,710
Coq4,650,677,631,597,733,551,486,574,676
Coq5,1203,1480,1765,1479,1546,1493,1378,1188,1274
Coq6,630,644,604,602,752,586,578,583,594
Coq7,485,769,770,796,932,811,442,636,675
Coq9,1193,1228,1631,1177,1592,1686,1922,1464,1224
Corin,0,0,0,0,0,0,0,0,0
Coro1a,12,15,19,17,18,2,8,14,9
Coro1b,3608,3909,4115,3526,4589,3981,5997,4230,4226
Coro1c,9764,11648,12959,12307,10730,10251,7510,8683,10503
Coro2a,4060,4509,4382,3186,3212,3100,4441,3268,3400
Coro2b,9,0,13,33,20,54,6,1,5
Coro6,0,0,1,1,0,2,0,0,0
Coro7,461,478,621,372,523,510,517,268,233
Cort,0,0,0,0,0,0,0,0,0
Cotl1,274,173,416,481,1107,1544,1435,1000,988
Cox10,1182,1264,1365,1429,1601,1229,900,1096,1277
Cox11,580.035,588.938,655.944,665.338,825.284,652.673,585.931,599.9,664.736
Cox14,1460,1689,1809,1192,1978,1809,2395,1822,1710
Cox15,2119.154,2509.806,2751.788,2347.88,2472.453,2434.366,2167.708,2158.715,2265.803
Cox16,482.119,607.472,542.817,538.981,758.936,588.407,545.481,670.652,527.886
Cox17,974,1145,1000,700,1110,836,1069,1012,896
Cox18,499,632,709,618.001,617,518,460,497,456
Cox19,460,472,575,544,551,588,449,501,532
Cox20,449,515,482,426,548,570,345,404,479
Cox4i1,9616,10455,13177,8751,13089,14940,11830,12830,11728
Cox4i2,0,0,0,1,0,0,0,0,0
Cox5a,4114,4495,4920,4659,6141,5482,5653,6669,5546
Cox5b,2859,3452,3383,2083,4533,3878,3855,3349,4030
Cox6a1,7329,8462,11492,7686,10129,11745,10004,9760,9144
Cox6a2,0,0,0,0,0,0,0,1,0
Cox6b1,3588,4245,4314,3575,5373,4190,5318,5572,5317
Cox6b2,1,0,0,0,9,3,34,22,37
Cox6c,3078,3263,3515,2648,3974,3674,3933,4242,3593
Cox7a1,12,16,13,14,25,17,31,20,8
Cox7a2,2899,3036,3817,2708,3824,3643,3252,3667,3414
Cox7a2l,3175,3059,3141,2903,4202,3436,5032,4817,3825
Cox7b,3338,3106,3326,2447,3800,3398,3371,3658,3015
Cox7b2,0,0,0,0,0,0,0,0,0
Cox7c,4502.563,4905.646,4662.779,3319.373,5135.534,4527.586,5126.328,5682.35,4169.222
Cox8a,7722,7624,8667,5149,9878,9303,9523,7800,8231
Cox8b,0,0,0,0,0,0,0,0,0
Cox8c,0,0,0,0,0,0,0,0,0
Cp,2168.001,675,1883,5741,4395.999,4758,1424,2808,3125.001
Cpa1,0,0,0,0,0,0,0,0,0
Cpa2,20,29,19,2,73,35,0,7,0
Cpa3,0,0,0,0,0,0,0,0,0
Cpa4,0,0,0,2,0,0,0,0,0
Cpa5,0,0,0,0,0,0,0,0,0
Cpa6,14,0,1,4,7,2,0,0,1
Cpb1,0,0,0,0,0,0,0,0,0
Cpb2,0,0,0,0,0,0,0,0,0
Cpd,2823,2312,2414,2999,3436,2908,3335,2486,3408
Cpe,1379,661,2599,263,923,1029,160,161,224
Cpeb1,2,0,1,0,4,0,0,1,1
Cpeb2,811,541,994,918,605,828,1169,587,510
Cpeb3,75,51,72,54,48,66,47,24,49
Cpeb4,550,350,506,647,401,509,1341,734,683
Cped1,6,18,12,2,1,5,2,0,0
Cphx1,0.999,0.999,8,8,3,5.001,5.001,4,0
Cphx2,0,0,0,0,0,0,0,0,0
Cplx1,0,0,0,0,1,1,0,2,0
Cplx2,0,0,0,65,72,44,18,20,2
Cplx3,0,0,0,0,0,0,2,0,0
Cplx4,0,0,0,0,0,0,0,0,0
Cpm,193,33,142,58,81,99,152,140,285
Cpn1,8,13,77,174,670,495,40,140,112
Cpn2,0,0,0,0,0,0,0,0,0
Cpne1,2145.492,1766.599,3728.438,2050.469,2161.117,2693.783,2550.056,2585.284,2969.958
Cpne2,172,487,313,336,220,344,201,244,224
Cpne3,5765,5582,5130,5333,5094,4400,5037,4217,5625
Cpne4,0,0,1,0,0,0,1,1,0
Cpne5,2,2,5,5,9,3,17,18,13
Cpne6,0,0,0,0,0,0,0,0,0
Cpne7,1,0,0,17,4,23,0,0,0
Cpne8,945,941,1176,789,900,869,908,913,848
