"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Regulation"
"Kctd19",0.447799410282574,-2.94586035328247,3.97105551974181,-0.741833081566688,0.458188474393028,1,"Not Significant"
"Kctd2",418.094293581969,0.0124015569543761,0.152382073651595,0.0813846186575127,0.935136081064227,1,"Not Significant"
"Kctd20",1141.43165028296,-0.103773864473472,0.170949811850492,-0.607042870361446,0.543822462035543,1,"Not Significant"
"Kctd21",69.4277572981126,0.0795925035167844,0.620885280461419,0.128191963993146,0.897997059405509,1,"Not Significant"
"Kctd3",2797.84486397381,-0.0609391530169686,0.113954378495456,-0.534767981902499,0.592810305874565,1,"Not Significant"
"Kctd5",3289.50060083971,-0.23442347955448,0.12144674585227,-1.93025739725983,0.053574952906264,0.377043667000584,"Not Significant"
"Kctd6",553.531841574144,-0.414245574121658,0.222338976391383,-1.86312620866106,0.0624445116556323,0.411988777128298,"Not Significant"
"Kctd7",216.31490114931,-0.0579460108771321,0.274583767361652,-0.211032179483545,0.83286216116246,1,"Not Significant"
"Kctd9",870.721681145297,-0.173585885732332,0.207791777089682,-0.835383806633567,0.403501644361748,0.985153771428498,"Not Significant"
"Kdelc1",835.481288894395,0.0336552717670065,0.192265488946526,0.17504582830446,0.861043623679686,1,"Not Significant"
"Kdelc2",612.015820159421,-0.010388860202247,0.16583821548815,-0.062644548915743,0.950049554154322,1,"Not Significant"
"Kdelr1",3123.62230835004,0.0510417297390394,0.127254259891596,0.401100362239506,0.68834623416419,1,"Not Significant"
